삭제,bsn_tp,crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt
1,E003,E,팬택앤큐리텔,A00375579,자산양수ㆍ도종료보고서,20050712000115,팬택앤큐리텔,20050712
1,E003,E,베스트플로우,A00377814,자산양수ㆍ도종료보고서,20051013000156,베스트플로우,20051013
1,E003,E,베스트플로우,A00377814,자산양수ㆍ도종료보고서,20051130000086,베스트플로우,20051130
1,E003,E,베스트플로우,A00377814,자산양수ㆍ도종료보고서,20060427000658,베스트플로우,20060427
1,E003,E,베스트플로우,A00377814,[기재정정]자산양수ㆍ도종료보고서,20080319000189,베스트플로우,20080319
1,E003,E,베스트플로우,A00377814,[기재정정]자산양수ㆍ도종료보고서,20080319000188,베스트플로우,20080319
,E003,Y,보령제약,A003850,[기재정정]합병등종료보고서(자산양수도),20170711000262,보령제약,20170711
1,E003,E,케이에스리소스,A00385451,자산양수ㆍ도종료보고서,20060327000601,케이에스리소스,20060327
1,E003,E,케이에스리소스,A00385451,자산양수ㆍ도종료보고서,20070928000217,케이에스리소스,20070928
1,E003,E,케이에스리소스,A00385451,[기재정정]자산양수ㆍ도종료보고서,20070928000214,케이에스리소스,20070928
1,E003,E,케이에스리소스,A00385451,자산양수ㆍ도종료보고서,20080312000191,케이에스리소스,20080312
1,E003,E,케이에스리소스,A00385451,자산양수ㆍ도종료보고서,20081017000032,케이에스리소스,20081017
1,E003,E,해피드림,A00389679,영업양수ㆍ도종료보고서,20050708000255,해피드림,20050708
1,E003,E,해피드림,A00389679,자산양수ㆍ도종료보고서,20050811000336,해피드림,20050811
1,E003,E,해피드림,A00389679,자산양수ㆍ도종료보고서,20061226000152,해피드림,20061226
1,E003,E,해피드림,A00389679,자산양수ㆍ도종료보고서,20071206000071,해피드림,20071206
1,E003,E,해피드림,A00389679,자산양수ㆍ도종료보고서,20071207000053,해피드림,20071207
1,E003,E,해피드림,A00389679,자산양수ㆍ도종료보고서,20080110000498,해피드림,20080110
1,E003,E,해피드림,A00389679,합병등종료보고서(자산양수도),20120321000331,해피드림,20120321
1,E003,E,해피드림,A00389679,합병등종료보고서(자산양수도),20130321000325,해피드림,20130321
1,E003,E,해피드림,A00389679,합병등종료보고서(자산양수도),20131031000076,해피드림,20131031
1,E003,E,해피드림,A00389679,합병등종료보고서(자산양수도),20150302000216,해피드림,20150302
1,E003,E,해피드림,A00389679,합병등종료보고서(자산양수도),20150703000617,해피드림,20150703
1,E003,E,투미비티,A00392600,[기재정정]자산양수ㆍ도종료보고서,20051221000074,투미비티,20051221
1,E003,E,투미비티,A00392600,자산양수ㆍ도종료보고서,20061228000316,투미비티,20061228
1,E003,E,투미비티,A00392600,자산양수ㆍ도종료보고서,20080103000213,투미비티,20080103
1,E003,E,투미비티,A00392600,자산양수ㆍ도종료보고서,20081219000074,투미비티,20081219
1,E003,E,투미비티,A00392600,자산양수ㆍ도종료보고서,20090303001678,투미비티,20090303
1,E003,E,투미비티,A00392600,합병등종료보고서(자산양수도),20090630000441,투미비티,20090630
1,E003,E,티이씨,A00394574,자산양수ㆍ도종료보고서,20051229000230,티이씨,20051229
1,E003,E,티이씨,A00394574,자산양수ㆍ도종료보고서,20070516000240,티이씨,20070516
1,E003,E,케이엔씨글로벌,A00394778,합병등종료보고서(자산양수도),20130410001744,케이엔씨글로벌,20130410
1,E003,E,케이엔씨글로벌,A00394778,합병등종료보고서(자산양수도),20130621000316,케이엔씨글로벌,20130621
,E003,Y,사조대림,A003960,자산양수ㆍ도종료보고서,20070903000293,사조대림,20070903
1,E003,E,아이드림,A00397766,자산양수ㆍ도종료보고서,20081209000031,아이드림,20081209
,E003,Y,현대제철,A004020,합병등종료보고서(자산양수도),20090901000221,현대제철,20090901
1,E003,E,세이프아시아,A00405074,자산양수ㆍ도종료보고서,20060728000013,세이프아시아,20060728
1,E003,E,세이프아시아,A00405074,자산양수ㆍ도종료보고서,20060811000810,세이프아시아,20060811
1,E003,E,세이프아시아,A00405074,자산양수ㆍ도종료보고서,20070205000184,세이프아시아,20070205
,E003,Y,SG세계물산,A004060,합병등종료보고서(자산양수도),20100623000081,SG세계물산,20100623
1,E003,E,인산가,A00408336,합병등종료보고서(영업양수도),20160419000296,인산가,20160419
1,E003,E,나이스메탈,A00408585,자산양수ㆍ도종료보고서,20050630000283,나이스메탈,20050630
1,E003,E,나이스메탈,A00408585,자산양수ㆍ도종료보고서,20080627000266,나이스메탈,20080627
1,E003,E,나이스메탈,A00408585,자산양수ㆍ도종료보고서,20081029000260,나이스메탈,20081030
,E003,Y,동방,A004140,합병등종료보고서(자산양수도),20120425000450,동방,20120425
1,E003,E,유에이블,A00416706,자산양수ㆍ도종료보고서,20060823000180,유에이블,20060823
1,E003,E,유에이블,A00416706,자산양수ㆍ도종료보고서,20061229000281,유에이블,20061229
1,E003,E,유에이블,A00416706,자산양수ㆍ도종료보고서,20070213000254,유에이블,20070213
,E003,Y,신세계,A004170,[기재정정]자산양수ㆍ도종료보고서,20070108000205,신세계,20070108
,E003,Y,신세계,A004170,합병등종료보고서(자산양수도),20121218000362,신세계,20121218
1,E003,E,바이나믹,A00417963,자산양수ㆍ도종료보고서,20070622000144,바이나믹,20070622
1,E003,E,바이나믹,A00417963,자산양수ㆍ도종료보고서,20070720000055,바이나믹,20070720
1,E003,E,바이나믹,A00417963,자산양수ㆍ도종료보고서,20080201000129,바이나믹,20080201
1,E003,E,바이나믹,A00417963,[기재정정]합병등종료보고서(자산양수도),20091130000845,바이나믹,20091130
1,E003,E,엠제이비,A00418476,합병등종료보고서(자산양수도),20140723000291,엠제이비,20140723
,E003,E,클루넷,A00419989,영업양수ㆍ도종료보고서,20050119000173,클루넷,20050120
,E003,E,클루넷,A00419989,자산양수ㆍ도종료보고서,20061122000043,클루넷,20061122
,E003,E,클루넷,A00419989,합병등종료보고서(자산양수도),20110523000205,클루넷,20110523
,E003,E,클루넷,A00419989,합병등종료보고서(자산양수도),20111111000171,클루넷,20111111
,E003,Y,엔피씨,A004250,합병등종료보고서(자산양수도),20160531001529,엔피씨,20160531
1,E003,E,제로원인터랙티브,A00428792,자산양수ㆍ도종료보고서,20070703000091,제로원인터랙티브,20070703
1,E003,E,제로원인터랙티브,A00428792,자산양수ㆍ도종료보고서,20081105000320,제로원인터랙티브,20081106
1,E003,E,도움,A00450728,자산양수ㆍ도종료보고서,20060605000125,도움,20060605
1,E003,E,도움,A00450728,자산양수ㆍ도종료보고서,20070719000234,도움,20070719
